"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim",0,2624,-0.0012,0.0062,0.0206,2319196
2020-01-31,"Cook County","IL","Chicago-Naperville-Elgin",1,1600,-0.0197,-0.0092,0.0052,1697863
2020-01-31,"Harris County","TX","Houston-The Woodlands-Sugar Land",2,1382,-0.0041,0.0093,0.0084,1374478
2020-01-31,"Maricopa County","AZ","Phoenix-Mesa-Scottsdale",3,1470,-0.0008,0.0145,0.0801,1529858
2020-01-31,"San Diego County","CA","San Diego-Carlsbad",4,2559,0.0053,0.0049,0.0421,912320
2020-01-31,"Orange County","CA","Los Angeles-Long Beach-Anaheim",5,2694,-0.0014,0.009,0.0074,919321
2020-01-31,"Kings County","NY","New York-Newark-Jersey City",6,2367,0.003,0.0106,0.0435,539474
2020-01-31,"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach",7,1952,-0.0079,-0.0103,0.001,1115836
2020-01-31,"Dallas County","TX","Dallas-Fort Worth-Arlington",8,1476,-0.002,0.0059,0.0212,762462
2020-01-31,"Queens County","NY","New York-Newark-Jersey City",9,2134,-0.0122,-0.0035,-0.0055,700180
2020-01-31,"Riverside County","CA","Riverside-San Bernardino-Ontario",10,2081,0.0066,0.0091,0.0313,724269
2020-01-31,"San Bernardino County","CA","Riverside-San Bernardino-Ontario",11,1766,-0.003,0.0032,0.0381,628709
2020-01-31,"Clark County","NV","Las Vegas-Henderson-Paradise",12,1357,0.0001,0.0012,0.0569,835437
2020-01-31,"King County","WA","Seattle-Tacoma-Bellevue",13,2159,0.006,-0.0022,0.0261,758787
2020-01-31,"Wayne County","MI","Detroit-Warren-Dearborn",14,957,-0.0003,-0.0119,0.0036,703609
2020-01-31,"Tarrant County","TX","Dallas-Fort Worth-Arlington",15,1375,0.0002,0.0014,0.0102,667331
2020-01-31,"Santa Clara County","CA","San Jose-Sunnyvale-Santa Clara",16,3297,-0.0045,-0.0073,0.0019,508825
2020-01-31,"Broward County","FL","Miami-Fort Lauderdale-West Palm Beach",17,1661,-0.016,-0.015,-0.003,927295
2020-01-31,"Bexar County","TX","San Antonio-New Braunfels",18,1206,0.0053,0.0024,0.011,607981
2020-01-31,"New York County","NY","New York-Newark-Jersey City",19,3668,-0.0128,-0.0282,-0.0069,526679
2020-01-31,"Philadelphia County","PA","Philadelphia-Camden-Wilmington",20,1343,-0.0039,-0.0051,0.0341,555544
2020-01-31,"Alameda County","CA","San Francisco-Oakland-Hayward",21,2962,-0.0026,-0.0082,0.0009,441647
2020-01-31,"Middlesex County","MA","Boston-Cambridge-Newton",22,2410,-0.0035,-0.0262,0.0327,547659
2020-01-31,"Sacramento County","CA","Sacramento--Roseville--Arden-Arcade",23,1754,0.003,0.0116,0.05,448932
2020-01-31,"Bronx County","NY","New York-Newark-Jersey City",24,1915,0.0032,0.0102,0.0299,183542
2020-01-31,"Nassau County","NY","New York-Newark-Jersey City",25,2730,-0.0024,-0.0101,0.0026,470139
2020-01-31,"Palm Beach County","FL","Miami-Fort Lauderdale-West Palm Beach",26,1891,-0.0025,0.0042,0.0254,698247
2020-01-31,"Cuyahoga County","OH","Cleveland-Elyria",27,1001,-0.0104,-0.0461,-0.0201,474992
2020-01-31,"Hillsborough County","FL","Tampa-St. Petersburg-Clearwater",28,1429,0.0033,0.0126,0.0449,504203
2020-01-31,"Allegheny County","PA","Pittsburgh",29,1210,0.0096,0.0398,0.0557,472423
2020-01-31,"Oakland County","MI","Detroit-Warren-Dearborn",30,1544,-0.0047,-0.0162,0.0241,480936
2020-01-31,"Franklin County","OH","Columbus",31,1183,0.0009,0.002,-0.0067,420389
2020-01-31,"Hennepin County","MN","Minneapolis-St. Paul-Bloomington",32,1573,0.0103,0.0219,0.0391,373282
2020-01-31,"Orange County","FL","Orlando-Kissimmee-Sanford",33,1472,0.0016,0.0122,0.0461,470938
2020-01-31,"Fairfax County","VA","Washington-Arlington-Alexandria",34,2086,-0.0021,-0.0044,0.0298,391888
2020-01-31,"Contra Costa County","CA","San Francisco-Oakland-Hayward",35,2731,-0.0027,-0.0162,0.0165,689802
2020-01-31,"Salt Lake County","UT","Salt Lake City",36,1487,-0.0055,-0.017,0.0145,389567
2020-01-31,"Travis County","TX","Austin-Round Rock",37,1670,0.0022,0.0137,0.0485,431281
2020-01-31,"Saint Louis County","MO","St. Louis",38,1159,-0.0038,-0.006,0.0463,383124
2020-01-31,"Pima County","AZ","Tucson",39,1286,0.0069,0.0197,0.0646,329962
2020-01-31,"Montgomery County","MD","Washington-Arlington-Alexandria",40,1956,0.0019,0.006,0.0401,345301
2020-01-31,"Honolulu County","HI","Urban Honolulu",41,2321,-0.0014,-0.0064,-0.0068,313977
2020-01-31,"Westchester County","NY","New York-Newark-Jersey City",42,2283,-0.0154,-0.0083,-0.0086,152324
2020-01-31,"Milwaukee County","WI","Milwaukee-Waukesha-West Allis",43,1041,0.0105,0.0269,0.0487,166208
2020-01-31,"Fresno County","CA","Fresno",44,1339,0.003,0.0097,0.0585,243633
2020-01-31,"Shelby County","TN","Memphis",45,1024,0.0016,-0.0071,0.0268,327429
2020-01-31,"Fulton County","GA","Atlanta-Sandy Springs-Roswell",46,1623,-0.0064,-0.0022,0.0285,425956
2020-01-31,"Mecklenburg County","NC","Charlotte-Concord-Gastonia",47,1423,-0.003,0.0168,0.0568,402356
2020-01-31,"Erie County","NY","Buffalo-Cheektowaga-Niagara Falls",48,1018,0.0008,-0.0119,-0.0093,327868
2020-01-31,"DuPage County","IL","Chicago-Naperville-Elgin",49,1643,-0.0008,-0.0022,0.0184,314662
2020-01-31,"Fairfield County","CT","Bridgeport-Stamford-Norwalk",50,2031,-0.0056,-0.0044,0.0238,471162
2020-01-31,"Pinellas County","FL","Tampa-St. Petersburg-Clearwater",51,1494,0.003,0.0172,0.0517,435918
2020-01-31,"Bergen County","NJ","New York-Newark-Jersey City",52,2212,-0.0072,-0.0117,0.0031,275615
2020-01-31,"Marion County","IN","Indianapolis-Carmel-Anderson",53,1000,-0.0077,-0.0052,0.0107,312061
2020-01-31,"Wake County","NC","Raleigh",54,1316,0.0063,0.0027,0.0292,385939
2020-01-31,"Hartford County","CT","Hartford-West Hartford-East Hartford",55,1307,-0.0058,0.0002,0.0029,478647
2020-01-31,"Duval County","FL","Jacksonville",56,1251,0.0007,0.0083,0.0341,359455
2020-01-31,"Prince Georges County","MD","Washington-Arlington-Alexandria",57,1707,0.0012,0.0066,0.0044,281704
2020-01-31,"New Haven County","CT","New Haven-Milford",58,1348,0.002,0.0076,0.0118,377381
2020-01-31,"Macomb County","MI","Detroit-Warren-Dearborn",59,1214,0.0097,-0.0011,0.0126,329621
2020-01-31,"Kern County","CA","Bakersfield",60,1243,0.0137,0.0235,0.0675,239077
2020-01-31,"Ventura County","CA","Oxnard-Thousand Oaks-Ventura",61,2621,0.0001,0.0045,0.0179,239804
2020-01-31,"Middlesex County","NJ","New York-Newark-Jersey City",62,1865,-0.0007,-0.0068,-0.0041,229033
2020-01-31,"Gwinnett County","GA","Atlanta-Sandy Springs-Roswell",63,1479,0.01,0.0225,0.0358,327949
2020-01-31,"San Francisco County","CA","San Francisco-Oakland-Hayward",64,4224,-0.0012,-0.0095,-0.0069,182130
2020-01-31,"Baltimore County","MD","Baltimore-Columbia-Towson",65,1570,-0.0018,-0.0032,-0.0029,265999
2020-01-31,"Hamilton County","OH","Cincinnati",66,1206,0.002,0.0235,0.0637,270404
2020-01-31,"El Paso County","TX","El Paso",67,982,0.0238,0.0306,0.0298,247008
2020-01-31,"Montgomery County","PA","Philadelphia-Camden-Wilmington",68,1627,-0.0034,0.0092,0.0453,289704
2020-01-31,"Worcester County","MA","Worcester",69,1418,0,-0.0036,0.0039,282258
2020-01-31,"Pierce County","WA","Seattle-Tacoma-Bellevue",70,1684,0.0015,0.0096,0.055,289538
2020-01-31,"Essex County","NJ","New York-Newark-Jersey City",71,1653,-0.0063,-0.0127,0.0121,187816
2020-01-31,"Collin County","TX","Dallas-Fort Worth-Arlington",72,1538,-0.001,-0.0039,0.0019,356350
2020-01-31,"Hidalgo County","TX","McAllen-Edinburg-Mission",73,837,0.0028,0.0065,-0.0051,203698
2020-01-31,"Monroe County","NY","Rochester",74,1199,0.0124,-0.0245,-0.0171,251562
2020-01-31,"Essex County","MA","Boston-Cambridge-Newton",75,1953,0.0033,0.0139,0.0628,244410
2020-01-31,"Jefferson County","KY","Louisville/Jefferson County",76,1072,-0.0046,-0.0108,0.0172,265703
2020-01-31,"Multnomah County","OR","Portland-Vancouver-Hillsboro",77,1728,-0.0038,-0.0003,0.0229,275900
2020-01-31,"Suffolk County","MA","Boston-Cambridge-Newton",78,2786,0.0099,-0.0259,0.075,268620
2020-01-31,"Oklahoma County","OK","Oklahoma City",79,925,-0.0001,0.005,0.019,280949
2020-01-31,"San Mateo County","CA","San Francisco-Oakland-Hayward",80,3595,0.0009,-0.0055,0.0246,218275
2020-01-31,"Snohomish County","WA","Seattle-Tacoma-Bellevue",81,1875,0.002,-0.0219,0.0064,270795
2020-01-31,"Lake County","IL","Chicago-Naperville-Elgin",82,1591,0.0045,0.0067,0.0159,244365
2020-01-31,"Dekalb County","GA","Atlanta-Sandy Springs-Roswell",83,1437,0.0021,0.0194,0.0808,274592
2020-01-31,"Cobb County","GA","Atlanta-Sandy Springs-Roswell",84,1459,-0.0006,0.0086,0.0463,278805
2020-01-31,"San Joaquin County","CA","Stockton-Lodi",85,1690,0.0101,0.0145,0.063,204367
2020-01-31,"Will County","IL","Chicago-Naperville-Elgin",86,1571,0.0076,0.0144,0.0545,113608
2020-01-31,"Jackson County","MO","Kansas City",87,1044,-0.0006,0.0038,0.0227,271522
2020-01-31,"Norfolk County","MA","Boston-Cambridge-Newton",88,2450,-0.0139,-0.0105,0.0495,258193
2020-01-31,"Denton County","TX","Dallas-Fort Worth-Arlington",89,1486,0.0102,0.0194,0.0175,285109
2020-01-31,"Bernalillo County","NM","Albuquerque",90,1157,0.001,-0.0025,0.0264,218015
2020-01-31,"Jefferson County","AL","Birmingham-Hoover",91,1019,-0.0044,0.006,0.0189,248919
2020-01-31,"Hudson County","NJ","New York-Newark-Jersey City",92,2231,0.0008,-0.0029,0.0192,128890
2020-01-31,"Monmouth County","NJ","New York-Newark-Jersey City",93,2145,0.0021,-0.0001,0.0117,241680
2020-01-31,"Davidson County","TN","Nashville-Davidson--Murfreesboro--Franklin",94,1527,0.0058,0.0021,0.0294,261365
2020-01-31,"Providence County","RI","Providence-Warwick",95,1327,-0.0085,-0.0238,0.0309,198599
2020-01-31,"Bucks County","PA","Philadelphia-Camden-Wilmington",96,1752,0.0107,0.0294,0.0606,218665
2020-01-31,"El Paso County","CO","Colorado Springs",97,1476,0.0016,0.012,0.0443,262656
2020-01-31,"Baltimore City","MD","Baltimore-Columbia-Towson",98,1265,0.0071,0.0018,-0.0175,215990
2020-01-31,"Lee County","FL","Cape Coral-Fort Myers",99,1544,0.0076,0.0041,-0.0036,392932
2020-01-31,"Tulsa County","OK","Tulsa",100,928,0.0064,0.0117,0.0288,230636
2020-01-31,"Kent County","MI","Grand Rapids-Wyoming",101,1381,-0.0005,0.0156,0.0604,199324
2020-01-31,"Polk County","FL","Lakeland-Winter Haven",102,1240,-0.0037,0.0106,0.0613,233791
2020-01-31,"District of Columbia","DC","Washington-Arlington-Alexandria",103,2348,-0.0023,-0.0046,0.0114,221863
2020-01-31,"Denver County","CO","Denver-Aurora-Lakewood",104,1856,0,-0.0028,0.0292,256958
2020-01-31,"Fort Bend County","TX","Houston-The Woodlands-Sugar Land",105,1617,-0.0025,0.0008,0.0166,260201
2020-01-31,"Ocean County","NJ","New York-Newark-Jersey City",106,1732,-0.001,-0.0157,0.0206,272406
