fips,Median Home Value,decile
1001.0,147900.0,7
1003.0,189800.0,9
1005.0,92900.0,3
1007.0,96500.0,3
1009.0,124700.0,6
1011.0,77500.0,1
1013.0,88300.0,2
1015.0,113800.0,5
1017.0,88400.0,2
1019.0,123100.0,6
1021.0,102200.0,4
1023.0,75200.0,1
1025.0,100800.0,4
1027.0,102200.0,4
1029.0,112000.0,5
1031.0,149100.0,7
1033.0,113500.0,5
1035.0,76600.0,1
1037.0,87900.0,2
1039.0,95500.0,3
1041.0,79500.0,2
1043.0,124100.0,6
1045.0,110100.0,5
1047.0,82600.0,2
1049.0,102700.0,4
1051.0,161100.0,8
1053.0,98200.0,3
1055.0,109900.0,5
1057.0,83800.0,2
1059.0,87800.0,2
1061.0,92300.0,3
1063.0,66400.0,1
1065.0,92700.0,3
1067.0,115100.0,5
1069.0,130500.0,6
1071.0,105300.0,4
1073.0,154400.0,7
1075.0,77200.0,1
1077.0,136400.0,6
1079.0,107200.0,4
1081.0,165000.0,8
1083.0,152900.0,7
1085.0,66300.0,1
1087.0,79500.0,2
1089.0,180600.0,8
1091.0,90000.0,3
1093.0,86500.0,2
1095.0,122500.0,6
1097.0,126600.0,6
1099.0,103000.0,4
1101.0,127500.0,6
1103.0,131000.0,6
1105.0,65900.0,1
1107.0,97500.0,3
1109.0,117400.0,5
1111.0,88700.0,2
1113.0,118600.0,5
1115.0,148200.0,7
1117.0,204500.0,9
1119.0,74600.0,1
1121.0,101800.0,4
1123.0,107800.0,4
1125.0,166000.0,8
1127.0,93100.0,3
1129.0,85200.0,2
1131.0,82200.0,2
1133.0,87800.0,2
2013.0,123000.0,6
2016.0,247900.0,10
2020.0,308000.0,10
2050.0,110200.0,5
2060.0,179500.0,8
2068.0,203500.0,9
2070.0,183200.0,9
2090.0,236800.0,9
2100.0,258100.0,10
2105.0,228500.0,9
2110.0,344000.0,10
2122.0,239800.0,10
2130.0,272300.0,10
2150.0,275000.0,10
2158.0,76000.0,1
2164.0,120200.0,5
2170.0,243000.0,10
2180.0,149600.0,7
2185.0,143000.0,7
2188.0,131400.0,6
2195.0,213100.0,9
2198.0,172700.0,8
2220.0,349300.0,10
2230.0,314500.0,10
2240.0,184000.0,9
2261.0,229800.0,9
2275.0,212600.0,9
2282.0,169300.0,8
2290.0,77700.0,1
4001.0,62300.0,1
4003.0,143800.0,7
4005.0,261300.0,10
4007.0,157600.0,8
4009.0,127000.0,6
4011.0,82400.0,2
4012.0,77600.0,1
4013.0,242700.0,10
4015.0,151100.0,7
4017.0,118800.0,5
4019.0,173500.0,8
4021.0,169800.0,8
4023.0,148500.0,7
4025.0,231600.0,9
4027.0,122000.0,6
5001.0,83600.0,2
5003.0,71500.0,1
5005.0,128800.0,6
5007.0,172000.0,8
5009.0,124900.0,6
5011.0,77800.0,1
5013.0,69400.0,1
5015.0,126800.0,6
5017.0,63000.0,1
5019.0,100900.0,4
5021.0,72400.0,1
5023.0,132400.0,6
5025.0,83000.0,2
5027.0,82800.0,2
5029.0,101400.0,4
5031.0,138500.0,7
5033.0,116900.0,5
5035.0,110500.0,5
5037.0,83600.0,2
5039.0,66600.0,1
5041.0,62800.0,1
5043.0,97600.0,3
5045.0,157600.0,8
