NAME,fips,% Housing Units Occupied,% Unemployment Rate,% Born in State,% <HS,% HS Grad,% Some College,% Bach Degree,% Grad Degree,% Below Pov Level,Commute Time,Median Income,Median Home Value,state_1.0,state_2.0,state_4.0,state_5.0,state_6.0,state_8.0,state_9.0,state_10.0,state_11.0,state_12.0,state_13.0,state_15.0,state_16.0,state_17.0,state_18.0,state_19.0,state_20.0,state_21.0,state_22.0,state_23.0,state_24.0,state_25.0,state_26.0,state_27.0,state_28.0,state_29.0,state_30.0,state_31.0,state_32.0,state_33.0,state_34.0,state_35.0,state_36.0,state_37.0,state_38.0,state_39.0,state_40.0,state_41.0,state_42.0,state_44.0,state_45.0,state_46.0,state_47.0,state_48.0,state_49.0,state_50.0,state_51.0,state_53.0,state_54.0,state_55.0,state_56.0
"Washington County, Mississippi",28151,0.847529063,0.084,0.868198615,0.138533747,0.196534002,0.187635391,0.073822368,0.047147772,0.329099945,277765,19069,74700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itawamba County, Mississippi",28057,0.84614637,0.022,0.752597956,0.143739353,0.202001704,0.232410562,0.056942078,0.032879046,0.145996593,228155,21698,89500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quitman County, Mississippi",28119,0.849791377,0.136,0.89066739,0.196283234,0.201980467,0.194384156,0.051275095,0.024823657,0.34576777,59630,15946,52300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivar County, Mississippi",28011,0.846609107,0.05,0.858707658,0.147398135,0.157738095,0.181977172,0.091372116,0.060843152,0.329007118,188085,17353,94700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamar County, Mississippi",28073,0.903702197,0.062,0.691063816,0.060826813,0.154517093,0.21124414,0.146154223,0.085817422,0.164137661,696795,30100,170400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lee County, Mississippi",28081,0.879737172,0.04,0.760301478,0.107083554,0.164906083,0.230194901,0.100924454,0.056491786,0.156391686,758190,25806,131300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pike County, Mississippi",28113,0.80345998,0.036,0.763444649,0.117522712,0.228879885,0.196164783,0.065430204,0.03422503,0.328157636,327905,19193,91400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stone County, Mississippi",28131,0.827600162,0.027,0.677496599,0.127945578,0.220734694,0.205714286,0.065360544,0.028462585,0.16429932,245615,21514,117800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Warren County, Mississippi",28149,0.852302661,0.041,0.78519384,0.08590547,0.209346787,0.219139671,0.093807754,0.062389804,0.203802443,360170,23620,118600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clarke County, Mississippi",28023,0.783523225,0.044,0.84486439,0.131278252,0.251757911,0.227523857,0.054683576,0.026368659,0.190796082,183650,21582,79700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oktibbeha County, Mississippi",28105,0.808511611,0.055,0.678523069,0.048766193,0.104908955,0.136355369,0.109355106,0.113760837,0.26887088,360655,18041,161100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pearl River County, Mississippi",28109,0.82368818,0.045,0.428203594,0.108977497,0.20379336,0.256360043,0.074688571,0.036881902,0.156539556,711940,23196,128600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neshoba County, Mississippi",28099,0.856331039,0.051,0.871732026,0.13892293,0.215924564,0.203295207,0.049938725,0.027845861,0.232366558,281040,19628,81400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rankin County, Mississippi",28121,0.92741801,0.027,0.747745305,0.072156837,0.179615181,0.232471568,0.125925681,0.073856123,0.079059773,1799105,32075,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tate County, Mississippi",28137,0.90232967,0.044,0.588600709,0.119924192,0.212087179,0.20555926,0.079598498,0.033622293,0.182290387,365655,25098,117800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panola County, Mississippi",28107,0.830187421,0.037,0.803463482,0.142218848,0.248547148,0.169114856,0.061297199,0.036416202,0.207546068,301600,21413,77400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Copiah County, Mississippi",28029,0.787221859,0.055,0.846140455,0.1321681,0.218167891,0.21419867,0.068347202,0.0251384,0.231955712,318365,22007,97900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"George County, Mississippi",28039,0.775437118,0.046,0.598355124,0.118473218,0.251497259,0.194601434,0.047237453,0.034331506,0.143272881,270730,23553,109800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hinds County, Mississippi",28049,0.850797518,0.058,0.818561963,0.083098265,0.158511668,0.211073151,0.1090688,0.076344024,0.214100772,2323850,24419,115200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Newton County, Mississippi",28101,0.848043868,0.037,0.83924921,0.097611968,0.194341201,0.238663817,0.080793533,0.024995354,0.253019885,216075,21280,83000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Union County, Mississippi",28145,0.835867283,0.037,0.776802088,0.148681055,0.2114191,0.210607984,0.059775709,0.039145154,0.153794611,287470,22663,95000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
